scenario_id,outcome,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,total_blocks,v26_blocks,v27_blocks,winning_fork
sweep_0000,v27_dominant,0.8856358645928637,0.5015834170355274,0.7771362586605081,6,0,1800,49.841658296447264,11.25,56156.975326934626,50.15834170355274,87.11999999999999,63764.78467306539,756,866,193,673,v27
sweep_0001,v27_dominant,1.0,0.7621724326416383,0.7076222980659841,9,237,1800,23.782756735836173,0.0,53015.613051290995,76.21724326416383,98.36999999999999,66906.146948709,2024,879,257,622,v27
sweep_0002,v26_dominant,0.0,0.0,0.09395973154362416,1,73,1800,100.0,98.36999999999999,71226.58758620691,0.0,0.0,48695.1724137931,83,894,810,84,v26
sweep_0003,v26_dominant,0.0,0.0,0.09427609427609428,1,75,1800,100.0,98.36999999999999,71225.78761795168,0.0,0.0,48695.972382048334,83,891,807,84,v26
sweep_0004,v26_dominant,0.0,0.8860910127823763,0.0011641443538998836,0,0,1800,11.39089872176237,98.36999999999999,61280.065696073856,88.60910127823763,0.0,58641.69430392615,0,859,858,1,v26
sweep_0005,v27_dominant,1.0,0.999637665005516,0.6019736842105263,9,247,1800,0.03623349944840722,0.0,50944.280528370255,99.96376650055159,98.36999999999999,68977.47947162975,2548,912,363,549,v27
sweep_0006,v27_dominant,1.0,0.916521311116027,0.7505643340857788,9,189,1800,8.347868888397297,0.0,50845.54496185681,91.6521311116027,98.36999999999999,69076.2150381432,1980,886,221,665,v27
sweep_0007,v26_dominant,0.0,8.835972159936437e-05,0.5190582959641256,7,437,1800,99.99116402784006,98.36999999999999,68093.37476944874,0.008835972159936437,0.0,51828.38523055127,2649,892,429,463,v27
sweep_0008,v27_dominant,1.0,0.7621724326416383,0.967741935483871,4,0,1800,23.782756735836173,0.0,51092.510689957155,76.21724326416383,98.36999999999999,68829.24931004285,108,868,28,840,v27
sweep_0009,v27_dominant,0.6677848937684253,0.7016741709688209,0.48401323042998895,6,167,1800,29.832582903117906,32.68,56928.549948374144,70.16741709688209,65.69,62993.21005162585,2106,907,468,439,v26
sweep_0010,v27_dominant,1.0,1.0,0.9907407407407407,1,0,1800,0.0,0.0,48068.40855106888,100.0,98.36999999999999,71853.35144893112,7,864,8,856,v27
sweep_0011,v26_dominant,0.0,0.0,0.19955156950672645,3,168,1800,100.0,98.36999999999999,70443.55930795848,0.0,0.0,49478.20069204152,531,892,714,178,v26
sweep_0012,v26_dominant,0.0,0.30067963339166637,0.09417040358744394,1,66,1800,69.93203666083336,98.36999999999999,67616.83020575163,30.06796333916664,0.0,52304.92979424838,83,892,808,84,v26
sweep_0013,v27_dominant,1.0,0.5012210820410434,0.8983050847457628,6,0,1800,49.87789179589566,0.0,54736.216076921155,50.12210820410434,98.36999999999999,65185.543923078854,534,885,90,795,v27
sweep_0014,v27_dominant,1.0,0.702036505963305,0.8295194508009154,8,91,1800,29.796349403669502,0.0,52836.196476031415,70.2036505963305,98.36999999999999,67085.5635239686,1184,874,149,725,v27
sweep_0015,v26_dominant,0.0,0.0,0.23702031602708803,4,193,1800,100.0,98.36999999999999,70169.73219003477,0.0,0.0,49752.02780996524,836,886,676,210,v26
sweep_0016,v26_dominant,0.0,8.835972159936437e-05,0.2562358276643991,2,193,1800,99.99116402784006,98.36999999999999,70028.606660085,0.008835972159936437,0.0,49893.153339915014,369,882,656,226,v26
sweep_0017,v26_dominant,0.0,0.30067963339166637,0.19977553310886645,3,170,1800,69.93203666083336,98.36999999999999,66835.40370725849,30.06796333916664,0.0,53086.35629274152,531,891,713,178,v26
sweep_0018,v26_dominant,0.0,0.30067963339166637,0.0011614401858304297,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,861,860,1,v26
sweep_0019,v27_dominant,1.0,1.0,0.8297142857142857,8,85,1800,0.0,0.0,49256.206088992985,100.0,98.36999999999999,70665.55391100702,1184,875,149,726,v27
sweep_0020,v26_dominant,0.2733556978753685,0.30076799311326574,0.5551839464882943,13,186,1800,69.92320068867342,71.48,62958.37580677874,30.076799311326575,26.89,56963.38419322126,3351,897,399,498,v27
sweep_0021,v26_dominant,0.2733556978753685,0.6214929353977099,0.27932960893854747,0,0,1800,37.850706460229006,71.48,61157.456572462506,62.14929353977099,26.89,58764.303427537496,0,895,645,250,v26
sweep_0022,v26_dominant,0.0,0.6214045756761105,0.0011614401858304297,0,0,1800,37.85954243238895,98.36999999999999,64456.30294134904,62.14045756761105,0.0,55465.45705865096,0,861,860,1,v26
sweep_0023,v26_dominant,0.0,0.0,0.237880496054115,4,206,1800,100.0,98.36999999999999,70161.3892004635,0.0,0.0,49760.370799536504,840,887,676,211,v26
sweep_0024,v26_dominant,0.0,0.0,0.0011614401858304297,0,0,1800,100.0,98.36999999999999,71913.15784946237,0.0,0.0,48008.60215053764,0,861,860,1,v26
sweep_0025,v27_dominant,1.0,1.0,0.8560179977502812,7,57,1800,0.0,0.0,49062.975778546715,100.0,98.36999999999999,70858.7842214533,889,889,128,761,v27
sweep_0026,v27_dominant,1.0,1.0,0.967741935483871,4,0,1800,0.0,0.0,48238.016528925626,100.0,98.36999999999999,71683.74347107438,108,868,28,840,v27
sweep_0027,v26_dominant,0.0,0.0,0.16477272727272727,2,120,1800,100.0,98.36999999999999,70704.97678321679,0.0,0.0,49216.783216783224,288,880,735,145,v26
sweep_0028,v27_dominant,1.0,0.30076799311326574,0.9272116461366181,5,0,1800,69.92320068867342,0.0,56926.86655686762,30.076799311326575,98.36999999999999,62994.89344313239,320,893,65,828,v27
sweep_0029,v27_dominant,1.0,0.8483672608805827,0.8571428571428571,7,45,1800,15.163273911941735,0.0,50875.48201492955,84.83672608805827,98.36999999999999,69046.27798507045,882,889,127,762,v27
sweep_0030,contested,0.5741587882484497,0.6214929353977099,0.5213963963963963,7,6,1800,37.850706460229006,41.89,58003.1511955508,62.14929353977099,56.48,61918.6088044492,1026,888,425,463,v27
sweep_0031,v26_dominant,0.0,0.5012210820410434,0.0011614401858304297,0,0,1800,49.87789179589566,98.36999999999999,65898.50486496984,50.12210820410434,0.0,54023.25513503016,0,861,860,1,v26
sweep_0032,v27_dominant,1.0,0.5015834170355274,0.8983050847457628,6,0,1800,49.841658296447264,0.0,54732.73913478481,50.15834170355274,98.36999999999999,65189.02086521521,534,885,90,795,v27
sweep_0033,v27_dominant,1.0,1.0,0.9747995418098511,3,0,1800,0.0,0.0,48185.91549295774,100.0,98.36999999999999,71735.84450704226,63,873,22,851,v27
sweep_0034,contested,0.4690454406831351,0.5012210820410434,0.48322147651006714,0,0,1800,49.87789179589566,52.23,60261.847405863395,50.12210820410434,46.14,59659.91259413661,0,894,462,432,v26
sweep_0035,v27_dominant,1.0,1.0,0.8571428571428571,7,35,1800,0.0,0.0,49054.671280276816,100.0,98.36999999999999,70867.0887197232,882,889,127,762,v27
sweep_0036,v27_dominant,1.0,0.30076799311326574,0.9272116461366181,5,0,1800,69.92320068867342,0.0,56928.097515476635,30.076799311326575,98.36999999999999,62993.66248452337,320,893,65,828,v27
sweep_0037,v27_dominant,1.0,0.5012210820410434,0.9677790563866513,4,0,1800,49.87789179589566,0.0,54223.3635444331,50.12210820410434,98.36999999999999,65698.39645556691,108,869,28,841,v27
sweep_0038,v26_dominant,0.0,0.5012210820410434,0.09417040358744394,1,71,1800,49.87789179589566,98.36999999999999,65210.3328219591,50.12210820410434,0.0,54711.42717804091,83,892,808,84,v26
sweep_0039,v27_dominant,1.0,1.0,0.8980747451868629,6,0,1800,0.0,0.0,48751.74013921114,100.0,98.36999999999999,71170.01986078886,534,883,90,793,v27
sweep_0040,v26_dominant,0.0,0.30067963339166637,0.0011627906976744186,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,860,859,1,v26
sweep_0041,v26_dominant,0.0,0.30067963339166637,0.0011627906976744186,0,0,1800,69.93203666083336,98.36999999999999,68305.00224876238,30.06796333916664,0.0,51616.75775123764,0,860,859,1,v26
sweep_0042,v27_dominant,1.0,0.6218552703921939,0.9283314669652856,5,0,1800,37.814472960780606,0.0,53066.78382762433,62.18552703921939,98.36999999999999,66854.97617237567,315,893,64,829,v27
sweep_0043,v26_dominant,0.0,0.0,0.0940649496080627,1,73,1800,100.0,98.36999999999999,71226.58758620691,0.0,0.0,48695.1724137931,83,893,809,84,v26
sweep_0044,v27_dominant,1.0,0.702036505963305,0.9283314669652856,5,0,1800,29.796349403669502,0.0,52104.60900077099,70.2036505963305,98.36999999999999,67817.15099922901,315,893,64,829,v27
sweep_0045,v27_dominant,1.0,0.30076799311326574,0.9988358556461001,0,0,1800,69.92320068867342,0.0,56399.38623317845,30.076799311326575,98.36999999999999,63522.37376682156,0,859,1,858,v27
sweep_0046,v27_dominant,1.0,0.702036505963305,0.9827586206896551,2,0,1800,29.796349403669502,0.0,51702.92041900638,70.2036505963305,98.36999999999999,68218.83958099362,28,870,15,855,v27
sweep_0047,v27_dominant,1.0,1.0,0.8560179977502812,7,0,1800,0.0,0.0,49062.975778546715,100.0,98.36999999999999,70858.7842214533,889,889,128,761,v27
sweep_0048,contested,0.4690454406831351,0.5012210820410434,0.4105960264900662,1,67,1800,49.87789179589566,52.23,60797.70977881439,50.12210820410434,46.14,59124.050221185615,221,906,534,372,v26
sweep_0049,v26_dominant,0.0,0.30067963339166637,0.16477272727272727,2,128,1800,69.93203666083336,98.36999999999999,67096.8211825168,30.06796333916664,0.0,52824.93881748322,288,880,735,145,v26
