scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_custody_fraction,user_nodes_per_partition,user_split,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,0.6975161003427607,0.5220729366602687,61.99,69.75,7.76,True,partial_switch,1619.0,None,8852.0,-7233.0,16.75,10,0,13000,0.05,0.1,2,30.248389965723938,0.0,55061.171358005005,69.75161003427607,86.4,64286.028641995,1878,0.085,521,0.5,0.01,6,0.3,0.12,249,82462913896.02977,0,272,224424993286.98383,108263677.51667483,v27
sweep_0001,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9550321199143469,61.99,100.0,38.01,True,full_switch,1002.0,2113.0,1341.0,-339.0,47.19,10,0,13000,0.05,0.1,2,0.0,0.0,48282.02764976959,100.0,86.4,71065.17235023042,185,0.085,467,0.5,0.01,6,0.4,0.12,21,0.0,0,446,354522710178.0153,5295013.197364581,v27
sweep_0002,v26_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.6199155648080414,0.3406113537117904,61.99,61.99,0.0,False,partial_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,38.00844351919586,56.39999999999999,59958.498936589225,61.99155648080416,30.0,59388.701063410794,21,0.085,229,0.5,0.01,6,0.5,0.12,151,113183561309.8312,0,78,184164361997.63687,40410647.64086598,v26
sweep_0004,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9947997919916797,62.21,100.0,37.79,True,full_switch,723.0,2340.0,1721.0,-998.0,48.54,10,0,13000,0.05,0.1,2,0.0,0.0,48019.09814323608,100.0,86.4,71328.10185676394,91,0.085,1923,0.5,0.01,6,0.7,0.12,10,0.0,0,1913,355834386181.31323,8289131.669427452,v27
sweep_0005,contested,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.5844907407407407,0.6039927566446243,0.49176470588235294,60.4,60.4,0.0,False,partial_switch,None,None,None,None,5.4,5,0,13000,0.05,0.1,2,39.600724335537585,35.9,58122.78032395845,60.39927566446243,50.5,61224.41967604157,534,0.085,425,0.5,0.1,6,0.3,0.12,216,109718278258.63225,117199803.7728232,209,189856925415.4049,0,v26
sweep_0006,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.8955479452054794,60.4,100.0,39.6,True,full_switch,1627.0,5789.0,4627.0,-3000.0,45.54,10,0,13000,0.05,0.1,2,0.0,0.0,48606.593406593405,100.0,86.4,70740.6065934066,405,0.085,584,0.5,0.1,6,0.4,0.12,61,0.0,0,523,352903549512.7448,44879830.74077089,v27
sweep_0007,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.896551724137931,60.4,100.0,39.6,True,full_switch,3342.0,5236.0,3921.0,-579.0,45.74,14,0,13000,0.05,0.1,2,0.0,0.0,48566.92913385827,100.0,86.4,70780.27086614174,199,0.085,290,0.5,0.1,6,0.5,0.12,30,0.0,0,260,353101422605.8825,14664790.37784869,v27
sweep_0008,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9736842105263158,62.62,100.0,37.38,True,full_switch,417.0,2621.0,1295.0,-878.0,47.66,10,0,13000,0.05,0.1,2,0.0,0.0,48190.47619047619,100.0,86.4,71156.72380952381,132,0.085,608,0.5,0.1,6,0.6,0.12,16,0.0,0,592,354979432794.6789,5752004.550579925,v27
sweep_0009,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9782608695652174,62.62,100.0,37.38,True,full_switch,646.0,1624.0,1262.0,-616.0,48.18,10,0,13000,0.05,0.1,2,0.0,0.0,48088.163265306124,100.0,86.4,71259.03673469387,129,0.085,782,0.5,0.1,6,0.7,0.12,17,0.0,0,765,355489841118.7278,9978701.936460424,v27
sweep_0010,contested,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.5844907407407407,0.610365964311519,0.5316901408450704,58.63,61.04,2.41,False,partial_switch,5231.0,None,None,None,7.81,5,0,13000,0.05,0.1,2,38.96340356884809,35.9,57431.99991762347,61.0365964311519,50.5,61915.20008237653,293,0.085,284,0.5,0.2,6,0.3,0.12,133,99799493217.01445,148829008.28851748,151,201286315467.8061,0,v27
sweep_0011,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9715242881072027,58.63,100.0,41.37,True,full_switch,1010.0,5158.0,1333.0,-323.0,47.65,10,0,13000,0.05,0.1,2,0.0,0.0,48192.17081850534,100.0,86.4,71155.02918149467,136,0.085,597,0.5,0.2,6,0.4,0.12,17,0.0,0,580,354970978806.5752,1581038.4596998314,v27
sweep_0012,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9383259911894273,58.63,100.0,41.37,True,full_switch,1241.0,3008.0,1961.0,-720.0,46.76,10,0,13000,0.05,0.1,2,0.0,0.0,48365.48223350254,100.0,86.4,70981.71776649747,100,0.085,227,0.5,0.2,6,0.5,0.12,14,0.0,0,213,354106380431.34314,10872479.063515346,v27
sweep_0013,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.8770764119601329,63.08,100.0,36.92,True,full_switch,1363.0,4359.0,1982.0,-619.0,44.32,10,0,13000,0.05,0.1,2,0.0,0.0,48848.66920152091,100.0,86.4,70498.5307984791,270,0.085,301,0.5,0.2,6,0.6,0.12,37,0.0,0,264,351695906386.7528,11289527.102947354,v27
sweep_0014,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9373368146214099,63.08,100.0,36.92,True,full_switch,954.0,4139.0,1377.0,-423.0,46.63,10,0,13000,0.05,0.1,2,0.0,0.0,48390.857142857145,100.0,86.4,70956.34285714287,215,0.085,383,0.5,0.2,6,0.7,0.12,24,0.0,0,359,353979792662.1532,5352408.894648258,v27
sweep_0015,v26_dominant,no_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.5597627339684653,0.31333333333333335,55.98,55.98,0.0,False,no_switch,None,None,None,None,4.08,3,0,13000,0.05,0.1,2,44.02372660315347,56.39999999999999,61214.82595344036,55.97627339684653,30.0,58132.374046559635,15,0.085,150,0.5,0.35,6,0.3,0.12,103,115555127784.29134,0,47,180268491918.38144,125623485.03982289,v26
sweep_0016,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9830508474576272,55.98,100.0,44.02,True,full_switch,1236.0,4111.0,1337.0,-101.0,48.15,10,0,13000,0.05,0.1,2,0.0,0.0,48095.74468085107,100.0,86.4,71251.45531914894,58,0.085,413,0.5,0.35,6,0.4,0.12,7,0.0,0,406,355452019723.2807,3987284.985093524,v27
sweep_0017,v26_dominant,no_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.5597627339684653,0.2727272727272727,55.98,55.98,0.0,False,no_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,44.02372660315347,56.39999999999999,61286.201038532265,55.97627339684653,30.0,58060.99896146774,27,0.085,264,0.5,0.35,6,0.5,0.12,192,115689862416.79169,0,72,180047157779.51147,96672450.29260501,v26
sweep_0018,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9787234042553191,63.76,100.0,36.24,True,full_switch,697.0,1641.0,1279.0,-582.0,48.17,10,0,13000,0.05,0.1,2,0.0,0.0,48091.603053435116,100.0,86.4,71255.5969465649,72,0.085,423,0.5,0.35,6,0.6,0.12,9,0.0,0,414,355472681053.2612,9317877.135471731,v27
sweep_0019,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.8886756238003839,63.76,100.0,36.24,True,full_switch,3615.0,4896.0,3742.0,-127.0,45.2,10,0,13000,0.05,0.1,2,0.0,0.0,48672.611464968155,100.0,86.4,70674.58853503186,377,0.085,521,0.5,0.35,6,0.7,0.12,58,0.0,0,463,352574205331.88,22047091.904375114,v27
sweep_0020,v27_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,0.7309173716186765,0.9966953073364178,53.32,73.09,19.77,True,partial_switch,2016.0,None,2561.0,-545.0,32.89,10,0,13000,0.05,0.1,2,26.90826283813234,0.0,51246.87004070223,73.09173716186766,86.4,68100.32995929779,88,0.085,4539,0.5,0.5,6,0.3,0.12,15,62008712.749249704,0,4524,339649604346.1636,13920703.145253886,v27
sweep_0021,v26_dominant,no_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.5332247203627699,0.3873239436619718,53.32,53.32,0.0,False,no_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,46.67752796372301,56.39999999999999,60653.33094185366,53.32247203627699,30.0,58693.86905814635,27,0.085,284,0.5,0.5,6,0.4,0.12,174,114495194560.54103,0,110,182009687949.31183,88453898.73907672,v26
sweep_0022,v27_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,0.7309173716186765,0.9819863680623174,53.32,73.09,19.77,True,partial_switch,3245.0,None,4599.0,-1354.0,32.52,10,0,13000,0.05,0.1,2,26.90826283813234,0.0,51328.155337919714,73.09173716186766,86.4,68019.04466208028,234,0.085,2054,0.5,0.5,6,0.5,0.12,37,62107067.95888285,0,2017,339244194870.8264,43692205.14002165,v27
sweep_0023,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9755639097744361,64.44,100.0,35.56,True,full_switch,805.0,1760.0,1277.0,-472.0,48.11,10,0,13000,0.05,0.1,2,0.0,0.0,48102.231237322514,100.0,86.4,71244.9687626775,104,0.085,532,0.5,0.5,6,0.6,0.12,13,0.0,0,519,355419660249.51984,9699077.324900819,v27
sweep_0024,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9574014909478168,64.44,100.0,35.56,True,full_switch,2302.0,5046.0,2664.0,-362.0,47.25,10,0,13000,0.05,0.1,2,0.0,0.0,48270.00000000001,100.0,86.4,71077.2,252,0.085,939,0.5,0.5,6,0.7,0.12,40,0.0,0,899,354582712494.936,19643051.583003145,v27
sweep_0025,v26_dominant,no_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.34722222222222227,0.5066867067570746,0.431924882629108,50.67,50.67,0.0,False,no_switch,None,None,None,None,0.0,3,0,13000,0.05,0.1,2,49.33132932429255,56.39999999999999,60331.00576168967,50.66867067570746,30.0,59016.19423831034,18,0.085,213,0.5,0.65,6,0.3,0.12,121,113886741840.11226,0,92,183009218333.00037,77269439.26664762,v26
sweep_0027,v26_dominant,no_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,0.0,0.28909703875679377,0.02510460251046025,50.67,28.91,-21.76,False,no_switch,1643.0,None,None,None,0.0,4,0,13000,0.05,0.1,2,71.09029612432063,86.4,67798.47752386876,28.909703875679376,0.0,51548.722476131254,18,0.085,239,0.5,0.65,6,0.5,0.12,233,338158356512.2666,7844142.704331875,6,51548722.47613125,0,v26
sweep_0028,v27_dominant,partial_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,0.7947411024826764,0.961352657004831,65.12,79.47,14.35,True,partial_switch,1351.0,None,1947.0,-596.0,35.33,10,0,13000,0.05,0.1,2,20.525889751732358,0.0,50715.10677020789,79.47411024826764,86.4,68632.09322979211,254,0.085,1035,0.5,0.65,6,0.6,0.12,40,36007725.8068476,0,995,342336083525.2797,14745072.393464636,v27
sweep_0029,v27_dominant,full_switch,0.6,0.25,0.62,0.16,0.28,0.35,30.0,0.4,0.49,1.0,1.0,0.9743243243243244,65.12,100.0,34.88,True,full_switch,1042.0,5835.0,1435.0,-393.0,47.95,10,0,13000,0.05,0.1,2,0.0,0.0,48132.76595744681,100.0,86.4,71214.4340425532,174,0.085,740,0.5,0.65,6,0.7,0.12,19,0.0,0,721,355267331740.70197,9459583.31218208,v27
